(235, -325)
(203, 232)
(-252, -272)
(335, 357)
(341, 231)
(-136, 171)
(55, 55)
(296, 31)
(-371, 229)
(-66, -144)
(-320, 378)
(-321, 259)
(-26, 276)
(-337, 160)
(-352, 235)
(-185, -162)
(-209, -337)
(-146, -282)
(365, 242)
(-322, -206)
(67, 380)
(156, -390)
(222, -157)
(48, 237)
(285, -306)
(-399, -391)
(64, -144)
(120, -234)
(311, 375)
(258, 7)
(101, -108)
(-204, -199)
(-304, 358)
(231, 399)
(-33, -200)
(-250, -400)
(-293, 205)
(319, -193)
(317, -301)
(224, 288)
(-187, 238)
(-97, 260)
(-75, -69)
(277, -172)
(69, -372)
(-287, 45)
(-83, 378)
(140, 148)
(-364, -92)
(5, -78)
(64, -183)
(116, -94)
(314, 177)
(-113, -362)
(-294, 221)
(90, -210)
(-319, 53)
(-40, -234)
(-233, 64)
(-94, 287)
